geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330001.01,1.01,30422,758,411520,3.79,2535.17,29.9,184.43
9330001.02,1.02,31523,969,417005,3.84,2626.92,36.89,235.77
9330002.01,2.01,33699,907,493110,4.55,2808.25,32.3,220.68
9330002.02,2.02,28911,800,608483,6.61,2409.25,33.21,194.65
9330003.01,3.01,25017,759,564002,5.79,2084.75,36.41,184.67
9330003.02,3.02,22708,853,562255,5.76,1892.33,45.08,207.54
9330004.01,4.01,28404,899,591682,6.30,2367,37.98,218.73
9330004.02,4.02,22366,817,610643,6.65,1863.83,43.83,198.78
9330005,5,25692,755,270683,2.49,2141,35.26,183.7
9330006.01,6.01,30068,937,712075,8.52,2505.67,37.4,227.98
9330006.02,6.02,32154,1078,695454,8.21,2679.5,40.23,262.29
9330007.01,7.01,46011,856,889770,11.79,3834.25,22.33,208.27
9330007.02,7.02,61302,1791,1348063,49.70,5108.5,35.06,435.77
9330008.01,8.01,39607,0,0,0.00,3300.58,0,0
9330008.02,8.02,81087,1521,1203707,44.38,6757.25,22.51,370.07
9330009,9,63364,1140,892971,11.85,5280.33,21.59,277.37
9330010.01,10.01,38502,1268,823641,10.57,3208.5,39.52,308.52
9330010.02,10.02,40868,1334,1099989,40.56,3405.67,39.17,324.57
9330011,11,26460,746,610360,6.64,2205,33.83,181.51
9330012,12,29155,929,636284,7.12,2429.58,38.24,226.03
9330013.01,13.01,24330,710,559221,5.70,2027.5,35.02,172.75
9330013.02,13.02,22961,716,597775,6.41,1913.42,37.42,174.21
9330014.01,14.01,22759,737,631938,7.04,1896.58,38.86,179.32
9330014.02,14.02,22078,715,586609,6.21,1839.83,38.86,173.97
9330015.01,15.01,27174,968,637744,7.15,2264.5,42.75,235.52
9330015.02,15.02,27765,1145,622103,6.86,2313.75,49.49,278.59
9330016.01,16.01,23249,717,532201,5.20,1937.42,37.01,174.45
9330016.03,16.03,24453,863,339103,3.13,2037.75,42.35,209.98
9330016.04,16.04,25811,796,432127,3.98,2150.92,37.01,193.67
