geo_uid,ct_name,avg_value_dwellings_2011,avg_rent_monthly_2011,avg_income_2011,avg_income_monthly_2011,pct_income_spent_rent_2011,years_to_save,advocados_rent
9330008.01,8.01,0,0,46131,3844.25,0,0.00,0
9330130.04,130.04,0,0,29275,2439.58,0,0.00,0
9330189.08,189.08,213828,800,26440,2203.33,36.31,1.74,173.91
9330184.02,184.02,231661,840,30049,2504.08,33.55,1.88,182.61
9330503.07,503.07,241885,723,26315,2192.92,32.97,1.97,157.17
9330503.06,503.06,262353,935,35375,2947.92,31.72,2.13,203.26
9330207,207,270504,829,32449,2704.08,30.66,2.20,180.22
9330187.14,187.14,288345,825,36009,3000.75,27.49,2.34,179.35
9330191.04,191.04,289052,734,28357,2363.08,31.06,2.35,159.57
9330189.07,189.07,289401,1024,32150,2679.17,38.22,2.35,222.61
9330290.02,290.02,290461,1163,38582,3215.17,36.17,2.36,252.83
9330235.03,235.03,294700,1090,24713,2059.42,52.93,2.40,236.96
9330191.07,191.07,294789,858,28637,2386.42,35.95,2.40,186.52
9330503.09,503.09,295242,926,31869,2655.75,34.87,2.40,201.3
9330191.06,191.06,302125,812,28824,2402,33.81,2.46,176.52
9330190.01,190.01,302463,952,28665,2388.75,39.85,2.46,206.96
9330189.05,189.05,303162,818,30124,2510.33,32.59,2.46,177.83
9330170.05,170.05,305170,888,40149,3345.75,26.54,2.48,193.04
9330503.08,503.08,306876,930,32906,2742.17,33.91,2.49,202.17
9330050.04,50.04,311532,870,31654,2637.83,32.98,2.53,189.13
9330287.16,287.16,314982,1196,31501,2625.08,45.56,2.56,260
9330147.08,147.08,326994,1043,27371,2280.92,45.73,2.66,226.74
9330206,206,328868,928,37581,3131.75,29.63,2.67,201.74
9330402.03,402.03,338420,907,33544,2795.33,32.45,2.75,197.17
9330401.02,401.02,340750,839,32334,2694.5,31.14,2.77,182.39
9330235.04,235.04,341607,987,34383,2865.25,34.45,2.78,214.57
9330204.01,204.01,342809,848,35650,2970.83,28.54,2.79,184.35
9330189.1,189.1,350664,954,30375,2531.25,37.69,2.85,207.39
9330285.01,285.01,350740,811,31283,2606.92,31.11,2.85,176.3
9330183.06,183.06,350840,1129,34888,2907.33,38.83,2.85,245.43
9330185.09,185.09,350993,917,29581,2465.08,37.2,2.85,199.35
9330147.09,147.09,353869,1020,32229,2685.75,37.98,2.88,221.74
9330287.09,287.09,356962,1227,32761,2730.08,44.94,2.90,266.74
9330202,202,359285,1054,38099,3174.92,33.2,2.92,229.13
9330016.06,16.06,362062,1221,29440,2453.33,49.77,2.94,265.43
9330205.02,205.02,363688,904,32144,2678.67,33.75,2.96,196.52
9330506.01,506.01,364098,1068,34238,2853.17,37.43,2.96,232.17
9330227.02,227.02,365291,875,29887,2490.58,35.13,2.97,190.22
9330504.1,504.1,365751,1179,36552,3046,38.71,2.97,256.3
9330504.07,504.07,368680,1212,42949,3579.08,33.86,3.00,263.48
9330147.04,147.04,370727,1089,31906,2658.83,40.96,3.01,236.74
9330226.04,226.04,371110,895,27131,2260.92,39.59,3.02,194.57
9330170.03,170.03,372299,955,36590,3049.17,31.32,3.03,207.61
9330050.03,50.03,377750,936,36082,3006.83,31.13,3.07,203.48
9330260.1,260.1,384266,1447,48408,4034,35.87,3.12,314.57
9330504.13,504.13,386887,1766,45739,3811.58,46.33,3.14,383.91
9330190.03,190.03,389294,940,26752,2229.33,42.17,3.16,204.35
9330187.11,187.11,389831,1030,36728,3060.67,33.65,3.17,223.91
9330189.06,189.06,391249,1071,29091,2424.25,44.18,3.18,232.83
9330147.1,147.1,393090,1136,30455,2537.92,44.76,3.20,246.96
9330227.01,227.01,393382,881,24050,2004.17,43.96,3.20,191.52
9330403.01,403.01,400959,1057,36921,3076.75,34.35,3.26,229.78
9330186.05,186.05,404782,846,25741,2145.08,39.44,3.29,183.91
9330282.02,282.02,405889,837,36559,3046.58,27.47,3.30,181.96
9330101.03,101.03,408936,1037,42155,3512.92,29.52,3.32,225.43
9330147.05,147.05,411534,1162,26700,2225,52.22,3.35,252.61
9330226.03,226.03,412343,1140,28133,2344.42,48.63,3.35,247.83
9330183.03,183.03,412911,838,38035,3169.58,26.44,3.36,182.17
9330410.02,410.02,414542,793,37368,3114,25.47,3.37,172.39
9330402.02,402.02,415981,1006,37807,3150.58,31.93,3.38,218.7
9330147.07,147.07,417239,1160,23791,1982.58,58.51,3.39,252.17
9330224.01,224.01,417429,852,28736,2394.67,35.58,3.39,185.22
9330185.21,185.21,417466,710,26580,2215,32.05,3.39,154.35
9330181.05,181.05,420619,1519,39012,3251,46.72,3.42,330.22
9330403.03,403.03,420816,917,39712,3309.33,27.71,3.42,199.35
9330184.07,184.07,421125,824,29990,2499.17,32.97,3.42,179.13
9330205.01,205.01,421940,807,32787,2732.25,29.54,3.43,175.43
9330186.08,186.08,424364,790,28233,2352.75,33.58,3.45,171.74
9330287.15,287.15,424731,1070,36238,3019.83,35.43,3.45,232.61
9330410.05,410.05,429350,1057,38071,3172.58,33.32,3.49,229.78
9330005,5,429697,875,32259,2688.25,32.55,3.49,190.22
9330401.01,401.01,430458,684,34351,2862.58,23.89,3.50,148.7
9330185.11,185.11,433123,734,28490,2374.17,30.92,3.52,159.57
9330291.01,291.01,433894,907,33975,2831.25,32.04,3.53,197.17
9330192,192,434346,1013,25663,2138.58,47.37,3.53,220.22
9330228.04,228.04,434897,889,30630,2552.5,34.83,3.54,193.26
9330064,64,436296,1061,34015,2834.58,37.43,3.55,230.65
9330402.04,402.04,436573,1412,37632,3136,45.03,3.55,306.96
9330260.07,260.07,437424,1303,46209,3850.75,33.84,3.56,283.26
9330163.07,163.07,438001,996,34465,2872.08,34.68,3.56,216.52
9330225.02,225.02,438123,995,35255,2937.92,33.87,3.56,216.3
9330185.19,185.19,438938,674,30333,2527.75,26.66,3.57,146.52
9330506.02,506.02,439352,863,34945,2912.08,29.64,3.57,187.61
9330291.02,291.02,441733,1053,36783,3065.25,34.35,3.59,228.91
9330181.11,181.11,445250,995,37802,3150.17,31.59,3.62,216.3
9330189.03,189.03,445438,1089,31839,2653.25,41.04,3.62,236.74
9330184.08,184.08,447223,916,30418,2534.83,36.14,3.64,199.13
9330185.05,185.05,448502,816,27043,2253.58,36.21,3.65,177.39
9330228.03,228.03,452075,1064,27101,2258.42,47.11,3.67,231.3
9330251,251,452918,0,,0,,3.68,0
9330163.05,163.05,453867,906,33167,2763.92,32.78,3.69,196.96
9330222.02,222.02,455075,1202,37480,3123.33,38.48,3.70,261.3
9330403.04,403.04,455373,1073,42442,3536.83,30.34,3.70,233.26
9330187.12,187.12,455763,961,31793,2649.42,36.27,3.70,208.91
9330400.05,400.05,458653,1037,43689,3640.75,28.48,3.73,225.43
9330235.02,235.02,462057,1233,39466,3288.83,37.49,3.76,268.04
9330187.04,187.04,462724,783,24253,2021.08,38.74,3.76,170.22
9330151.07,151.07,462850,1299,24261,2021.75,64.25,3.76,282.39
9330292.04,292.04,466246,968,40913,3409.42,28.39,3.79,210.43
9330190.05,190.05,466958,885,28331,2360.92,37.49,3.80,192.39
9330184.14,184.14,467615,1256,47296,3941.33,31.87,3.80,273.04
9330190.04,190.04,468586,921,32125,2677.08,34.4,3.81,200.22
9330260.09,260.09,468966,912,40055,3337.92,27.32,3.81,198.26
9330183.04,183.04,469005,1139,45070,3755.83,30.33,3.81,247.61
9330204.02,204.02,469445,900,32632,2719.33,33.1,3.82,195.65
9330059.1,59.1,469771,1293,49627,4135.58,31.27,3.82,281.09
9330162.03,162.03,472360,787,31767,2647.25,29.73,3.84,171.09
9330191.05,191.05,472767,930,27587,2298.92,40.45,3.84,202.17
9330185.16,185.16,473376,744,27293,2274.42,32.71,3.85,161.74
9330101.04,101.04,474282,1121,37708,3142.33,35.67,3.86,243.7
9330040.01,40.01,474519,1072,41405,3450.42,31.07,3.86,233.04
9330185.15,185.15,474582,785,25081,2090.08,37.56,3.86,170.65
9330504.08,504.08,475179,907,47225,3935.42,23.05,3.86,197.17
9330187.15,187.15,476046,807,29465,2455.42,32.87,3.87,175.43
9330063,63,476307,1065,41896,3491.33,30.5,3.87,231.52
9330067.01,67.01,477615,943,35353,2946.08,32.01,3.88,205
