,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,geo_uid,ct_name,avg_rent_2016,avg_dwelling_cost_2016,median_income_2016,income_monthly_2016,pct_income_rent_2016,years_to_save_2016,advocado_2016
1746,9330208,208,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330208,208,823,1004360,74176,6181.33,13.31,17.05,164.6
2081,9330181.13,181.13,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330181.13,181.13,930,973753,86926,7243.83,12.84,6.14,186
5371,9330260.05,260.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330260.05,260.05,1050,787284,95360,7946.67,13.21,4.56,210
5668,9330182.04,182.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330182.04,182.04,1003,1107371,123648,10304.00,9.73,18.80,200.6
3964,9330502.05,502.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330502.05,502.05,1034,1774999,101461,8455.08,12.23,30.14,206.8
5527,9330110.03,110.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330110.03,110.03,1289,1406874,121984,10165.33,12.68,23.89,257.8
1088,9330502.07,502.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330502.07,502.07,1050,641514,84608,7050.67,14.89,3.32,210
4232,9330506.01,506.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330506.01,506.01,945,412168,73813,6151.08,15.36,1.75,189
3787,9330502.01,502.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330502.01,502.01,1109,772735,100535,8377.92,13.24,4.44,221.8
999,9330502.06,502.06,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330502.06,502.06,1052,992783,115968,9664.00,10.89,6.31,210.4
1745,9330207,207,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330207,207,980,308910,53867,4488.92,21.83,1.31,196
4944,9330050.03,50.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330050.03,50.03,1128,512551,58832,4902.67,23.01,2.23,225.6
2188,9330210,210,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330210,210,1013,718636,67104,5592.00,18.12,3.98,202.6
3346,9330290.07,290.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330290.07,290.07,1050,714631,93099,7758.25,13.53,3.94,210
5067,9330290.04,290.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330290.04,290.04,1196,832733,116992,9749.33,12.27,4.95,239.2
4231,9330410.02,410.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330410.02,410.02,1036,523521,77488,6457.33,16.04,2.32,207.2
2922,9330161.02,161.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330161.02,161.02,1054,835339,77824,6485.33,16.25,4.97,210.8
5457,9330183.05,183.05,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330183.05,183.05,1186,657715,109380,9115.00,13.01,3.46,237.2
4028,9330403.07,403.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330403.07,403.07,1058,525880,86080,7173.33,14.75,2.34,211.6
2098,9330185.17,185.17,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330185.17,185.17,1080,739613,95019,7918.25,13.64,4.16,216
2095,9330184.14,184.14,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330184.14,184.14,1225,564248,99584,8298.67,14.76,2.67,245
3541,9330049.02,49.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330049.02,49.02,1351,822354,78176,6514.67,20.74,4.86,270.2
2950,9330160.02,160.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330160.02,160.02,1245,1141434,88704,7392.00,16.84,19.38,249
1204,9330404.02,404.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330404.02,404.02,1290,811729,118848,9904.00,13.03,4.77,258
997,9330503.09,503.09,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330503.09,503.09,962,276842,55616,4634.67,20.76,1.18,192.4
3789,9330503.01,503.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330503.01,503.01,1217,732596,109466,9122.17,13.34,4.10,243.4
4939,9330040.02,40.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330040.02,40.02,1237,747629,59975,4997.92,24.75,4.22,247.4
4123,9330183.03,183.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330183.03,183.03,1016,547775,69120,5760.00,17.64,2.53,203.2
5346,9330260.07,260.07,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330260.07,260.07,1219,589030,82615,6884.58,17.71,2.88,243.8
5127,9330401.01,401.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330401.01,401.01,925,499025,61824,5152.00,17.95,2.12,185
4099,9330502.03,502.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330502.03,502.03,1160,779989,103753,8646.08,13.42,4.50,232
4890,9330039.01,39.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330039.01,39.01,1246,1031327,67191,5599.25,22.25,17.51,249.2
2088,9330044,44,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330044,44,1269,2786952,83456,6954.67,18.25,47.32,253.8
971,9330205.01,205.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330205.01,205.01,891,565573,45483,3790.25,23.51,2.68,178.2
5169,9330047.01,47.01,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330047.01,47.01,1421,1030414,70459,5871.58,24.20,17.50,284.2
5648,9330182.02,182.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330182.02,182.02,1241,770239,118912,9909.33,12.52,4.42,248.2
4891,9330039.02,39.02,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330039.02,39.02,1354,658383,70459,5871.58,23.06,3.47,270.8
2080,9330038,38,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330038,38,1196,756025,67776,5648.00,21.18,4.30,239.2
1262,9330183.08,183.08,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330183.08,183.08,1244,506258,83063,6921.92,17.97,2.18,248.8
4229,9330504.03,504.03,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,9330504.03,504.03,1278,781780,109504,9125.33,14.00,4.51,255.6
